files,pronunciation,predictions_CART_model,predictions_proba_CART_model,predictions_KNN_model,predictions_proba_KNN_model,predictions_LDA_model,predictions_proba_LDA_model,predictions_LR_model,predictions_proba_LR_model,predictions_NB_model,predictions_proba_NB_model,predictions_SVN_model
8f0c5862-874d-46e9-ae60-88b5e569628d.mp3,95.16,c,[0. 0. 0. 0. 0. 1.],b2,[0.2 0.  0.  0.  0.6 0.2],a,"[8.82225032e-01 6.99639830e-09 3.08318780e-04 8.83013930e-03
 5.82582996e-02 5.03782028e-02]",b2,[0.0720981  0.00803331 0.010655   0.08972555 0.43702254 0.38246549],b2,"[1.60933839e-04 0.00000000e+00 1.53135385e-03 1.10934640e-01
 8.81436363e-01 5.93670977e-03]",b2
b0443975-8985-4be4-87b1-76d61fb9e268.mp3,85.05,b2,[0. 0. 0. 0. 1. 0.],c,[0.2 0.  0.  0.  0.2 0.6],b2,"[6.43637244e-04 1.76890279e-14 1.33303679e-06 7.09694447e-03
 5.79432471e-01 4.12825614e-01]",c,[0.03177515 0.00062374 0.00088217 0.01902606 0.45622593 0.49146694],b2,"[6.31922360e-17 0.00000000e+00 7.56587032e-15 1.20129912e-03
 9.98557532e-01 2.41168564e-04]",c
6b51a741-83a7-429c-a9a0-362d857d9340.mp3,95.08,c,[0. 0. 0. 0. 0. 1.],c,[0. 0. 0. 0. 0. 1.],c,"[8.46823812e-04 1.06604398e-15 2.17459091e-07 9.95258092e-03
 2.97342724e-01 6.91857654e-01]",c,[0.015535   0.00128936 0.00222765 0.04760201 0.31731403 0.61603195],c,"[3.76617750e-03 5.90223418e-25 1.00117082e-04 6.33887052e-03
 2.21862630e-01 7.67932205e-01]",c
1b4e6f21-2114-4568-abf0-37e1b7ba100f_0_1_r.mp3,84.72,b2,[0. 0. 0. 0. 1. 0.],b1,[0.  0.  0.  0.4 0.4 0.2],c,"[1.39830119e-01 2.61938972e-12 9.19801978e-05 6.44906251e-03
 2.92986410e-01 5.60642428e-01]",c,[0.00406663 0.00370453 0.09230187 0.08976189 0.36480874 0.44535635],c,"[1.97918231e-01 1.50840085e-16 7.15993358e-02 1.24405822e-02
 1.66336920e-01 5.51704931e-01]",b2
e01d4fab-c659-4ec7-8637-dfdf6e0efb30.mp3,100.0,a,[1. 0. 0. 0. 0. 0.],c,[0.4 0.  0.  0.  0.  0.6],a,"[6.06163058e-01 4.04165434e-22 2.01393548e-11 2.00457044e-06
 1.54847026e-02 3.78350234e-01]",c,"[3.87069453e-02 2.82651468e-05 1.14882106e-05 5.52398717e-04
 8.21728538e-02 8.78528049e-01]",b2,"[3.00926563e-11 0.00000000e+00 1.31187098e-17 1.40813268e-04
 9.67144669e-01 3.27145180e-02]",c
180371b3-2294-4c29-8459-d615e2881fd0.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.  0.4 0.6],a,"[9.54794748e-01 2.68282272e-07 1.28356332e-03 4.38963766e-04
 6.55461233e-03 3.69278445e-02]",c,[0.17040891 0.00855858 0.00872898 0.02392639 0.1724963  0.61588083],b2,[0.00140405 0.         0.00462005 0.2216838  0.59328812 0.17900397],c
d717c617-dfd8-4fd0-b563-5253dbe5ce38_0_1_r.mp3,69.97,b2,[0. 0. 0. 0. 1. 0.],c,[0.  0.  0.  0.  0.4 0.6],c,"[1.17751310e-04 6.46711598e-12 2.54719350e-04 5.09408780e-03
 2.94683941e-01 6.99849501e-01]",c,[0.00146212 0.00155196 0.07362915 0.03837591 0.30299717 0.5819837 ],c,"[4.54729605e-04 0.00000000e+00 2.93776892e-03 1.82433125e-03
 7.84057373e-02 9.16377433e-01]",c
52c2501f-f70f-4260-b2b5-9b6e11e25a02.mp3,94.96,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.2 0.  0.8],c,"[4.36828683e-04 1.53305538e-18 5.90408721e-09 3.96476457e-04
 3.85819255e-02 9.60584763e-01]",c,"[3.33753460e-02 2.91743479e-04 2.92826554e-04 9.06441178e-03
 9.92536024e-02 8.57722070e-01]",c,"[6.19629040e-04 1.28725894e-42 2.57432068e-07 3.62767278e-03
 3.06255993e-01 6.89496448e-01]",c
efe3239e-8e93-4398-ae17-a836dedbd9a6_0_1_r.mp3,7.02,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.2 0.6 0.2],b2,"[2.01707304e-03 8.59302226e-08 3.30164244e-03 4.35374264e-02
 5.42817925e-01 4.08325847e-01]",b2,[0.00228162 0.00780878 0.12118542 0.11165228 0.4510616  0.30601029],a2,[0.07840364 0.         0.58901091 0.04557616 0.28017916 0.00683013],b2
7b1f70a0-c021-4b78-8a60-4f164f42e7c3.mp3,100.0,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.2 0.4 0.4],b2,"[3.47269961e-04 1.87850634e-18 6.84415093e-09 5.66531847e-03
 7.08997439e-01 2.84989965e-01]",b2,"[8.06331966e-03 4.62664037e-04 7.17685787e-04 4.11435361e-02
 5.82410828e-01 3.67201966e-01]",b2,"[1.73944398e-020 1.76522313e-114 1.08080834e-017 2.69796368e-002
 9.72580708e-001 4.39654890e-004]",b2
