files,pronunciation,predictions_CART_model,predictions_proba_CART_model,predictions_KNN_model,predictions_proba_KNN_model,predictions_LDA_model,predictions_proba_LDA_model,predictions_LR_model,predictions_proba_LR_model,predictions_NB_model,predictions_proba_NB_model,predictions_SVN_model
11_neg.mp3,84.97,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.  0.8 0.2],b2,"[4.86909981e-03 6.87929335e-11 1.05112041e-05 1.82287858e-01
 6.91951999e-01 1.20880532e-01]",b2,[0.01211194 0.00672174 0.00850173 0.21073818 0.58648151 0.17544491],b2,"[2.58149612e-03 0.00000000e+00 1.70100053e-04 2.93261600e-01
 6.64602453e-01 3.93843506e-02]",b2
4_pos.mp3,95.06,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.  0.4 0.6],c,"[9.09212531e-03 1.27680891e-16 1.59888575e-08 5.94313752e-04
 2.44936893e-01 7.45376652e-01]",c,"[4.43817160e-03 3.96211516e-04 9.23093841e-04 1.61442891e-02
 4.36619910e-01 5.41478324e-01]",c,"[2.77310166e-03 0.00000000e+00 5.46507092e-06 2.83183638e-04
 4.13505959e-01 5.83432290e-01]",c
21_neg.mp3,85.06,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.  0.6 0.4],c,"[3.28158430e-06 3.97392143e-15 2.03320156e-06 3.27500472e-03
 4.65968064e-01 5.30751616e-01]",c,"[1.65759851e-03 5.02570687e-04 3.21994065e-03 2.25250643e-02
 4.61974758e-01 5.10120068e-01]",b2,"[8.96595086e-009 9.82482109e-114 1.59080845e-004 2.58874050e-003
 5.12839523e-001 4.84412647e-001]",b2
8_pos.mp3,94.94,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.  0.6 0.4],c,"[9.81292387e-04 8.18315749e-19 1.74157924e-09 3.29365258e-05
 2.34912021e-02 9.75494567e-01]",c,"[5.60691875e-03 1.33679853e-04 1.50620589e-04 3.07270307e-03
 1.22052838e-01 8.68983240e-01]",c,"[3.09527903e-04 0.00000000e+00 1.63040765e-07 1.07231194e-05
 5.45165558e-03 9.94227930e-01]",c
19_neg.mp3,70.09,b2,[0. 0. 0. 0. 1. 0.],b2,[0.  0.  0.  0.2 0.6 0.2],b2,"[8.36650642e-06 8.91355051e-09 7.45322103e-03 5.55808773e-02
 6.98263293e-01 2.38694233e-01]",b2,[0.00407966 0.01625609 0.08640905 0.20726424 0.51426613 0.17172482],b2,"[5.40967666e-06 0.00000000e+00 2.43309122e-02 2.94524870e-02
 9.35651778e-01 1.05594131e-02]",b2
3_pos.mp3,84.98,c,[0. 0. 0. 0. 0. 1.],b2,[0.  0.  0.  0.2 0.6 0.2],b2,"[3.27904530e-04 4.05738578e-11 3.98019288e-04 6.94551193e-02
 5.74465707e-01 3.55353250e-01]",b2,[0.01423992 0.00522205 0.01650073 0.15381732 0.51305518 0.29716481],b2,"[2.08016757e-09 5.58767819e-93 4.62046475e-04 1.29638635e-01
 8.65374155e-01 4.52516131e-03]",b2
5_pos.mp3,7.01,c,[0. 0. 0. 0. 0. 1.],c,[0.  0.  0.  0.  0.4 0.6],c,"[3.70194194e-03 3.73814642e-15 7.41006531e-06 5.95431989e-03
 3.09259928e-01 6.81076400e-01]",c,[0.00824105 0.00370487 0.01926641 0.11060437 0.42624824 0.43193505],c,"[5.81473310e-03 7.74171114e-23 2.25428165e-03 4.80258870e-02
 5.07403473e-02 8.93164751e-01]",b2
16_neg.mp3,70.0,b2,[0. 0. 0. 0. 1. 0.],b1,[0.  0.  0.  0.6 0.2 0.2],b2,"[2.13343851e-04 7.71684611e-11 2.43505618e-04 2.16118070e-01
 5.81209497e-01 2.02215583e-01]",b2,[0.00764814 0.01116105 0.0374679  0.34309458 0.442087   0.15854134],b2,"[4.77795494e-02 1.73489479e-18 4.32306579e-02 2.64383530e-01
 5.40211957e-01 1.04394305e-01]",b2
18_neg.mp3,85.04,b1,[0. 0. 0. 1. 0. 0.],b1,[0.  0.  0.  0.6 0.  0.4],c,"[1.76061760e-04 2.93340702e-13 7.17181633e-05 2.21195468e-02
 2.23163661e-01 7.54469012e-01]",c,[0.00900723 0.01314976 0.0646554  0.24604819 0.25450473 0.41263469],c,[0.03784559 0.         0.18280615 0.01671304 0.16380689 0.59882833],b2
13_neg.mp3,69.96,b1,[0. 0. 0. 1. 0. 0.],b1,[0.  0.  0.  0.8 0.2 0. ],a,"[6.22015231e-01 1.13672883e-04 1.85478907e-02 2.76087410e-01
 6.18609664e-02 2.13748286e-02]",b1,[0.26338168 0.03882254 0.02475782 0.27223909 0.25536065 0.14543822],b1,"[1.63399822e-02 0.00000000e+00 1.71365626e-03 9.47935644e-01
 3.37666512e-02 2.44065887e-04]",b1
